idate,fig_date,gender,age,dob,actual_age
2004-04-14,20040414,female,33.6,1952-02-02,52.19398907103825
2004-07-23,20040723,female,40.4,1952-02-02,52.467213114754095
2009-07-02,20090702,female,41.8,1952-02-02,57.41095890410959
2011-06-03,20110603,female,36.2,1952-02-02,59.33150684931507
2012-05-08,20120508,female,33.3,1952-02-02,60.259562841530055
2012-11-08,20121108,female,40.6,1952-02-02,60.76229508196721
2012-12-24,20121224,female,38.0,1952-02-02,60.887978142076506
2013-05-29,20130529,female,30.0,1952-02-02,61.31780821917808
2014-01-13,20140113,female,39.5,1952-02-02,61.9454450183397
2014-07-24,20140724,female,41.5,1952-02-02,62.47123287671233
2014-12-29,20141229,female,44.0,1952-02-02,62.9041095890411
2015-05-04,20150504,female,37.0,1952-02-02,63.249315068493154
2015-08-04,20150804,female,44.3,1952-02-02,63.5013698630137
2016-02-04,20160204,female,37.3,1952-02-02,64.00546448087432
2016-11-04,20161104,female,41.7,1952-02-02,64.75136612021858
